Student_ID,Sleep_Hours,Assignment_Count,Screen_Time_Hours,Attendance_Percentage,Study_Hours,Social_Media_Usage_Hours,Burnout_Score,Stress_Level
STU00035,5.5,12,9.7,69,1.2,2.4,41.7,Medium
STU00036,5.5,6,4.9,48,6.4,3.9,44.1,Medium
STU00037,7.3,3,2.3,56,4.8,5.6,29.1,Low
STU00038,7.7,2,5.4,80,8.9,7.0,33.7,Low
STU00039,6.9,12,7.8,100,1.5,1.0,37.5,Medium
STU00040,8.4,3,10.6,84,1.9,6.4,32.2,Low
STU00041,7.8,8,1.7,67,2.7,3.1,27.6,Low
STU00042,5.2,3,4.8,60,7.3,6.5,42.5,Medium
STU00043,5.0,15,7.0,97,9.7,2.1,56.8,Medium
STU00044,7.1,4,6.8,72,9.5,0.6,35.4,Medium
STU00045,9.5,15,9.1,85,3.2,2.8,47.8,Medium
STU00046,5.8,4,10.9,76,7.2,7.4,46.6,Medium
STU00047,9.2,7,8.2,55,4.4,3.6,33.9,Low
STU00048,9.4,5,6.0,40,8.9,4.0,41.6,Medium
STU00049,4.4,11,10.4,77,4.3,0.9,45.9,Medium
STU00050,5.9,15,10.8,94,9.5,1.5,57.7,Medium
STU00051,6.1,2,11.2,82,0.9,7.4,36.7,Medium
STU00052,8.1,9,11.1,58,2.5,3.7,41.4,Medium
STU00053,6.1,14,3.6,98,1.8,4.0,44.6,Medium
STU00054,5.5,10,8.6,64,5.5,6.3,50.9,Medium
STU00055,5.3,5,1.6,50,9.7,3.3,41.2,Medium
STU00056,8.2,12,4.3,92,6.0,0.7,40.7,Medium
STU00057,6.5,1,7.1,67,2.6,1.5,30.4,Low
STU00058,9.1,13,6.3,88,2.0,1.8,38.7,Medium
STU00059,7.9,9,2.0,93,8.8,6.2,44.6,Medium
STU00060,6.5,14,2.8,54,4.1,6.2,53.7,Medium
STU00061,4.5,8,10.6,68,1.1,6.8,47.1,Medium
STU00062,8.4,14,1.0,85,8.4,2.7,40.5,Medium
STU00063,5.7,4,5.5,79,2.5,3.0,33.6,Low
STU00064,4.1,8,9.2,72,5.4,7.0,56.2,Medium
STU00065,5.9,7,5.4,88,4.0,3.6,32.3,Low
STU00066,5.1,5,2.8,68,1.4,6.6,37.3,Medium
STU00067,3.8,2,5.6,56,3.9,3.7,33.3,Low
STU00068,6.5,10,10.3,87,3.5,6.1,45.0,Medium
STU00069,8.7,6,10.5,90,8.6,5.2,45.5,Medium
STU00070,8.7,13,9.5,51,3.8,2.7,46.7,Medium
STU00071,9.5,0,11.8,81,7.9,1.1,28.6,Low
STU00072,6.9,14,1.2,53,2.4,6.5,49.1,Medium
STU00073,6.3,7,4.5,56,4.4,1.2,40.2,Medium
STU00074,6.9,15,2.3,50,9.9,7.8,60.3,Medium
STU00075,4.9,9,5.4,51,8.3,0.5,42.6,Medium
STU00076,6.3,4,5.7,68,5.5,4.2,33.3,Low
STU00077,8.7,1,3.6,66,8.3,3.3,25.4,Low
STU00078,7.1,4,10.0,84,9.6,4.5,44.8,Medium
STU00079,9.3,8,5.8,42,6.7,1.3,40.7,Medium
STU00080,8.3,10,6.2,92,0.8,6.2,30.8,Low
STU00081,5.4,5,5.3,79,6.4,3.2,36.7,Medium
STU00082,7.0,12,11.4,80,8.7,2.4,54.4,Medium
STU00083,9.1,11,4.4,63,2.5,3.4,31.1,Low
STU00084,5.7,11,8.3,81,5.0,2.8,47.5,Medium
STU00085,5.2,5,2.5,53,8.8,3.8,42.9,Medium
STU00086,9.0,8,6.5,94,9.2,2.7,40.1,Medium
STU00087,6.2,9,4.4,83,3.4,3.9,38.3,Medium
STU00088,5.3,1,11.8,79,3.0,2.1,29.9,Low
STU00089,3.9,15,7.4,93,1.1,5.7,48.5,Medium
STU00090,8.0,3,1.4,69,2.4,1.4,17.4,Low
STU00091,4.1,2,10.8,57,6.9,4.4,49.2,Medium
STU00092,3.7,1,3.1,60,5.1,1.7,26.8,Low
STU00093,5.3,10,8.3,69,1.5,4.7,47.4,Medium
STU00094,4.5,7,3.9,72,3.3,6.8,46.6,Medium
STU00095,6.6,0,10.7,100,2.0,6.3,30.2,Low
STU00096,5.4,15,8.7,74,7.8,4.2,61.2,Medium
STU00097,4.7,8,7.3,51,3.5,7.4,51.4,Medium
STU00098,4.5,12,1.9,81,8.0,7.2,55.7,Medium
STU00099,6.8,14,5.5,45,8.9,2.0,57.5,Medium
STU00100,3.7,1,10.8,44,3.5,8.0,47.2,Medium
STU00101,3.7,5,10.8,63,1.1,5.0,43.0,Medium
STU00102,5.3,8,8.0,59,7.4,3.0,46.7,Medium
STU00103,8.3,2,4.5,42,2.9,4.9,24.8,Low
STU00104,7.7,10,10.7,65,8.6,7.2,58.8,Medium
STU00105,7.0,13,2.1,88,8.5,1.2,39.3,Medium
STU00106,6.0,0,10.8,60,8.6,2.3,41.0,Medium
STU00107,8.4,5,5.0,88,5.0,1.6,26.1,Low
STU00108,5.8,0,1.2,49,2.1,7.7,29.5,Low
STU00109,5.0,15,7.8,60,1.5,7.3,53.2,Medium
STU00110,5.6,13,1.4,93,8.9,4.5,51.0,Medium
STU00111,7.0,1,4.7,50,6.1,5.0,31.3,Low
STU00112,7.2,13,10.5,56,8.9,1.7,58.3,Medium
STU00113,4.1,3,7.4,49,7.2,2.6,40.6,Medium
STU00114,9.0,10,8.1,65,6.3,3.1,39.8,Medium
STU00115,4.4,14,4.7,61,8.1,6.8,62.4,Medium
STU00116,8.4,14,1.6,81,2.6,7.8,38.4,Medium
STU00117,7.6,6,9.3,88,6.0,4.6,44.8,Medium
STU00118,4.7,2,7.4,79,5.6,5.8,44.0,Medium
STU00119,7.3,3,1.8,64,6.6,6.3,37.9,Medium
STU00120,7.8,12,8.1,51,1.6,5.0,42.5,Medium
STU00121,8.1,7,7.9,55,4.8,1.5,35.2,Medium
STU00122,5.7,0,6.4,71,7.2,2.2,31.4,Low
STU00123,8.9,9,8.6,45,5.7,3.4,40.3,Medium
STU00124,4.8,10,8.3,53,4.9,1.4,46.9,Medium
STU00125,3.7,13,5.5,92,0.9,7.4,46.0,Medium
STU00126,6.8,7,3.2,80,9.8,5.4,40.6,Medium
STU00127,6.8,6,7.5,87,6.5,5.1,37.8,Medium
STU00128,7.2,2,8.8,97,1.8,4.2,25.9,Low
STU00129,7.1,4,10.8,90,2.2,2.3,29.8,Low
STU00130,9.3,8,8.9,54,7.8,4.6,47.0,Medium
STU00131,5.6,10,5.9,66,8.6,3.0,52.5,Medium
STU00132,4.5,8,10.5,60,8.4,1.2,49.3,Medium
STU00133,8.4,14,12.0,62,4.6,7.4,62.1,Medium
STU00134,4.9,9,10.5,75,6.2,0.7,47.0,Medium
STU00135,9.0,1,7.2,66,9.3,3.7,37.4,Medium
STU00136,4.3,3,5.9,56,2.4,5.8,38.1,Medium
STU00137,7.0,10,5.1,44,6.4,4.9,47.9,Medium
STU00138,9.0,4,1.4,55,1.1,6.9,27.9,Low
STU00139,5.2,14,6.9,97,4.3,5.4,53.0,Medium
STU00140,9.2,9,9.0,91,3.0,6.5,42.8,Medium
STU00141,5.5,12,11.3,68,1.5,5.2,49.7,Medium
STU00142,4.5,1,1.7,81,1.9,4.8,22.7,Low
STU00143,5.5,12,11.5,83,4.0,6.4,52.1,Medium
STU00144,6.0,5,5.6,85,7.9,0.6,34.0,Low
STU00145,9.2,0,11.6,84,5.4,7.7,38.3,Medium
STU00146,6.6,6,5.4,59,7.6,2.9,38.1,Medium
STU00147,3.7,14,3.7,68,8.1,2.6,59.7,Medium
STU00148,6.4,12,7.5,82,2.7,6.0,51.2,Medium
STU00149,4.8,0,10.9,57,5.0,2.2,39.4,Medium
STU00150,6.8,7,9.8,66,3.6,7.1,47.4,Medium
STU00151,6.7,10,7.4,89,0.7,6.4,36.7,Medium
STU00152,7.1,4,1.7,52,9.7,1.2,35.4,Medium
STU00153,5.6,10,2.0,100,3.3,4.4,40.5,Medium
STU00154,7.4,4,3.7,61,7.6,5.7,38.0,Medium
STU00155,4.9,1,4.1,64,5.3,6.0,30.3,Low
STU00156,9.4,8,10.3,83,9.2,1.5,45.6,Medium
STU00157,6.1,2,10.7,58,0.6,3.6,29.3,Low
STU00158,6.1,0,1.4,65,7.8,7.0,37.0,Medium
STU00159,7.1,2,8.4,86,6.5,6.6,34.3,Low
STU00160,8.7,2,11.5,93,3.5,3.9,25.1,Low
STU00161,7.1,7,3.1,91,3.4,2.3,29.4,Low
STU00162,5.6,12,4.0,84,6.6,6.3,46.2,Medium
STU00163,5.6,13,2.3,42,3.1,4.3,47.8,Medium
STU00164,7.2,14,5.4,46,1.1,5.8,52.5,Medium
STU00165,5.0,12,11.1,79,7.9,2.5,58.1,Medium
STU00166,7.4,8,7.0,56,7.4,7.7,47.7,Medium
STU00167,7.8,1,4.8,66,3.8,7.8,26.6,Low
STU00168,6.6,3,11.5,100,9.5,0.5,43.0,Medium
STU00169,5.5,7,9.7,71,3.4,7.9,45.8,Medium
STU00170,5.2,11,9.2,90,8.0,2.0,49.4,Medium
STU00171,4.0,14,11.7,40,3.8,7.0,70.0,High
STU00172,7.2,14,6.3,51,9.7,3.8,57.0,Medium
STU00173,4.7,13,11.4,67,8.4,7.8,72.2,High
STU00174,9.0,11,3.4,59,1.7,0.5,31.9,Low
STU00175,5.0,4,9.3,73,2.8,2.7,32.9,Low
STU00176,4.3,6,6.7,88,5.3,1.7,38.1,Medium
STU00177,9.5,3,11.9,80,7.8,3.0,41.3,Medium
STU00178,7.7,2,10.2,58,2.5,5.3,35.2,Medium
STU00179,7.8,3,6.5,96,6.1,4.8,30.3,Low
STU00180,6.7,11,5.5,96,8.6,5.6,53.1,Medium
STU00181,7.2,9,1.3,64,1.0,7.5,30.8,Low
STU00182,8.9,5,9.9,62,9.5,3.5,39.3,Medium
STU00183,4.2,3,5.9,99,3.4,2.4,25.6,Low
STU00184,6.5,2,6.2,95,4.4,6.7,29.8,Low
STU00185,8.7,3,1.8,66,5.6,4.8,31.5,Low
STU00186,4.7,5,11.0,68,8.5,6.7,55.3,Medium
STU00187,6.6,4,11.2,55,6.7,2.3,38.8,Medium
STU00188,7.3,14,4.8,86,1.7,6.9,44.8,Medium
STU00189,4.2,3,9.5,71,0.8,2.1,31.7,Low
STU00190,5.7,6,7.9,73,5.5,6.9,43.2,Medium
STU00191,8.9,9,7.3,61,8.9,6.6,47.0,Medium
STU00192,8.8,14,8.9,70,0.8,0.9,34.8,Low
STU00193,6.2,13,9.1,58,6.9,2.5,54.2,Medium
STU00194,6.2,6,8.3,68,5.7,2.5,37.6,Medium
STU00195,7.2,6,2.0,87,6.9,7.6,41.5,Medium
STU00196,6.2,6,3.8,58,9.8,1.8,40.6,Medium
STU00197,8.6,15,6.0,77,7.2,2.9,49.0,Medium
STU00198,7.9,3,5.1,99,8.2,5.8,28.8,Low
STU00199,4.8,13,7.2,52,4.3,5.2,51.8,Medium
STU00200,4.7,14,3.1,54,7.5,5.9,57.8,Medium
STU00201,6.0,1,9.7,48,8.9,6.9,52.2,Medium
STU00202,5.1,1,11.3,50,5.7,5.2,46.5,Medium
STU00203,7.8,7,9.1,74,8.9,3.6,44.1,Medium
STU00204,6.5,7,7.0,57,4.4,1.6,41.9,Medium
STU00205,3.9,5,8.0,69,2.8,2.2,40.8,Medium
STU00206,5.0,13,7.1,88,4.2,2.8,52.9,Medium
STU00207,4.0,10,7.0,62,2.2,3.0,42.8,Medium
STU00208,5.6,8,5.6,84,9.9,7.3,47.2,Medium
STU00209,4.9,8,6.9,52,5.3,4.0,48.7,Medium
STU00210,4.4,7,10.1,46,3.6,6.2,47.6,Medium
STU00211,3.6,5,5.6,76,6.8,1.4,35.7,Medium
STU00212,6.6,0,2.7,43,2.8,3.9,28.3,Low
STU00213,7.4,3,8.2,49,5.8,6.0,45.0,Medium
STU00214,8.6,14,3.6,91,4.8,1.3,39.8,Medium
STU00215,3.7,14,10.1,48,7.3,7.8,69.0,High
STU00216,7.3,5,10.2,47,1.7,4.0,43.5,Medium
STU00217,4.5,14,7.4,51,5.4,3.2,55.0,Medium
STU00218,3.7,3,5.4,87,8.1,5.9,38.3,Medium
STU00219,8.1,9,10.5,78,9.3,6.9,53.8,Medium
STU00220,5.1,11,9.2,66,0.5,8.0,50.4,Medium
STU00221,5.3,4,5.4,42,9.6,7.5,53.2,Medium
STU00222,5.1,3,11.8,58,8.7,4.8,53.5,Medium
STU00223,7.5,6,4.4,79,5.0,0.9,34.3,Low
STU00224,5.1,7,11.5,51,7.8,3.3,50.6,Medium
STU00225,4.4,8,10.9,52,4.3,7.8,59.3,Medium
STU00226,6.6,2,4.1,54,8.6,6.0,42.3,Medium
STU00227,7.4,6,2.2,69,2.1,0.8,22.4,Low
STU00228,7.2,12,1.4,69,7.8,3.5,40.3,Medium
STU00229,6.2,1,11.8,63,4.6,5.5,40.8,Medium
STU00230,9.0,8,3.7,51,9.4,1.1,40.9,Medium
STU00231,7.6,6,5.3,46,1.8,2.0,30.7,Low
STU00232,5.2,4,9.5,80,8.3,3.3,41.6,Medium
STU00233,4.5,2,4.6,98,5.2,3.7,28.4,Low
STU00234,6.2,7,3.4,63,9.0,3.6,39.7,Medium
STU00235,8.2,10,9.4,49,8.6,1.9,54.1,Medium
STU00236,6.1,3,6.0,67,9.0,6.5,40.3,Medium
STU00237,5.7,8,4.0,75,2.8,3.0,33.6,Low
STU00238,7.4,13,2.7,64,8.5,4.1,52.1,Medium
STU00239,4.9,6,4.6,73,2.6,5.4,39.7,Medium
STU00240,9.3,1,5.7,70,7.3,2.1,23.5,Low
STU00241,3.9,4,9.7,85,6.4,1.7,38.8,Medium
STU00242,4.0,1,9.9,80,8.3,3.8,46.6,Medium
STU00243,3.5,1,10.6,77,1.9,3.6,36.3,Medium
STU00244,4.5,10,2.5,84,4.5,3.2,44.6,Medium
STU00245,6.9,8,4.7,59,3.4,3.2,32.3,Low
STU00246,8.3,15,1.1,61,7.9,5.9,49.6,Medium
STU00247,6.0,5,1.9,91,7.4,7.9,36.3,Medium
STU00248,6.0,3,5.5,67,8.1,7.2,45.3,Medium
STU00249,4.5,5,6.2,96,6.7,4.2,42.6,Medium
STU00250,7.0,2,11.1,70,5.7,3.5,39.7,Medium
STU00251,9.3,15,8.4,84,4.9,3.6,51.3,Medium
STU00252,7.9,9,1.4,43,4.0,2.2,29.5,Low
STU00253,9.4,7,3.1,54,9.2,4.5,37.5,Medium
STU00254,6.9,2,3.9,41,3.6,1.0,26.1,Low
STU00255,8.4,5,2.8,88,7.5,2.2,31.0,Low
STU00256,5.7,13,5.5,59,2.4,0.7,39.5,Medium
STU00257,5.0,2,4.5,45,5.6,5.9,36.6,Medium
STU00258,3.7,14,4.7,59,1.5,5.8,50.5,Medium
STU00259,8.9,9,3.5,96,0.9,1.4,18.9,Low
STU00260,6.9,12,11.1,47,1.6,2.5,52.2,Medium
STU00261,6.9,14,10.6,62,3.7,2.6,56.3,Medium
STU00262,6.9,2,1.8,89,4.5,4.7,24.3,Low
STU00263,5.7,2,1.7,85,8.6,6.2,38.9,Medium
STU00264,3.5,0,3.1,56,5.7,0.7,27.4,Low
STU00265,8.1,15,10.1,72,9.8,3.0,56.2,Medium
STU00266,7.0,8,5.4,62,9.4,4.2,45.5,Medium
STU00267,9.5,4,11.2,84,1.2,2.0,24.3,Low
STU00268,8.5,9,2.3,91,5.8,7.9,35.3,Medium
STU00269,5.7,0,7.9,84,2.0,1.3,27.3,Low
STU00270,3.8,4,4.3,69,1.7,6.9,40.4,Medium
STU00271,7.0,6,11.7,55,4.3,3.6,48.7,Medium
STU00272,7.5,1,6.3,49,9.6,5.1,40.1,Medium
STU00273,4.8,2,6.0,80,8.7,2.5,33.6,Low
STU00274,6.9,0,6.9,62,1.7,7.6,32.0,Low
STU00275,8.7,9,6.6,77,3.1,1.4,30.2,Low
STU00276,4.8,0,2.9,100,8.7,2.6,23.6,Low
STU00277,6.4,9,8.1,73,1.5,3.4,41.9,Medium
STU00278,9.1,12,11.3,42,8.9,6.5,57.8,Medium
STU00279,7.4,8,11.5,80,9.8,7.5,58.8,Medium
STU00280,6.7,2,9.7,56,2.4,5.9,40.1,Medium
STU00281,6.5,8,1.6,71,3.6,6.3,39.0,Medium
STU00282,8.1,11,11.1,56,2.9,7.4,55.9,Medium
STU00283,8.3,0,6.5,74,1.9,7.6,24.1,Low
STU00284,8.3,11,10.7,50,3.2,3.8,46.1,Medium
STU00285,8.5,1,12.0,61,5.6,4.8,42.2,Medium
STU00286,8.0,5,8.0,62,1.9,4.9,31.9,Low
STU00287,4.4,3,2.2,57,7.9,5.8,36.9,Medium
STU00288,5.1,9,2.9,75,5.5,5.0,45.8,Medium
STU00289,8.3,7,6.2,99,7.5,3.7,34.7,Low
STU00290,3.9,5,7.7,40,1.9,7.1,42.2,Medium
STU00291,5.5,9,12.0,95,6.3,2.2,46.9,Medium
STU00292,6.8,9,11.8,44,3.0,2.5,45.8,Medium
STU00293,4.3,7,11.2,88,4.0,4.0,45.0,Medium
STU00294,8.6,13,10.9,62,6.6,2.2,56.6,Medium
STU00295,4.7,1,9.9,76,9.1,5.0,49.1,Medium
STU00296,5.8,10,2.6,40,5.6,4.6,51.3,Medium
STU00297,9.2,11,5.1,46,1.0,4.0,35.7,Medium
STU00298,8.5,0,9.5,89,8.3,7.3,31.8,Low
STU00299,9.0,11,8.5,85,8.3,5.9,50.0,Medium
STU00300,4.2,11,3.5,63,9.7,8.0,60.5,Medium
STU00301,8.1,4,8.3,66,2.6,1.7,26.3,Low
STU00302,7.6,8,7.3,89,6.6,2.0,41.7,Medium
STU00303,4.5,10,10.5,73,1.3,2.6,48.0,Medium
STU00304,8.6,0,11.6,49,1.1,5.5,33.6,Low
STU00305,8.6,7,2.2,80,1.3,6.9,30.9,Low
STU00306,8.4,2,1.5,77,0.9,6.5,22.9,Low
STU00307,3.5,4,12.0,81,5.7,4.1,47.6,Medium
STU00308,6.4,7,2.6,50,5.0,7.5,41.4,Medium
STU00309,5.4,14,11.1,62,9.9,3.3,70.2,High
STU00310,5.5,9,4.9,49,7.3,6.8,50.4,Medium
STU00311,7.8,0,3.7,88,3.4,4.6,18.0,Low
STU00312,8.2,6,11.0,72,4.6,7.6,49.2,Medium
STU00313,6.1,6,2.4,42,3.5,7.5,40.7,Medium
STU00314,4.2,10,4.7,60,1.3,6.8,47.5,Medium
STU00315,7.8,0,2.2,69,1.7,6.5,20.5,Low
STU00316,7.8,3,2.7,73,8.0,1.4,31.9,Low
STU00317,9.4,9,8.9,84,5.4,5.4,46.2,Medium
STU00318,4.8,7,9.6,49,3.8,3.9,43.0,Medium
STU00319,8.9,5,8.3,63,2.2,6.0,36.3,Medium
STU00320,8.2,0,9.0,73,3.1,4.2,26.1,Low
STU00321,9.1,12,7.1,49,0.9,5.8,47.7,Medium
STU00322,7.4,2,5.4,52,1.1,5.4,27.3,Low
STU00323,4.8,0,5.6,49,4.5,5.6,34.2,Low
STU00324,4.2,14,5.2,60,7.7,7.8,60.9,Medium
STU00325,8.2,9,3.4,87,8.6,1.3,34.3,Low
STU00326,6.3,11,11.7,98,6.6,2.7,45.4,Medium
STU00327,8.1,1,8.3,60,5.9,2.8,31.4,Low
STU00328,6.1,12,1.1,48,5.7,7.8,51.8,Medium
STU00329,7.0,11,4.9,74,8.0,3.3,42.7,Medium
STU00330,5.4,8,1.3,53,4.2,8.0,42.8,Medium
STU00331,7.0,10,1.5,56,9.2,2.6,42.5,Medium
STU00332,4.8,9,10.5,74,5.9,7.5,55.6,Medium
STU00333,7.7,2,10.3,53,8.3,3.3,44.6,Medium
STU00334,9.5,11,4.0,52,1.7,1.1,32.1,Low
STU00335,6.3,3,4.6,88,9.8,0.6,35.1,Medium
STU00336,7.3,0,7.0,92,4.3,1.7,20.9,Low
STU00337,6.1,10,3.2,44,2.2,3.1,38.2,Medium
STU00338,4.9,1,10.2,92,2.4,7.0,40.5,Medium
STU00339,6.9,5,2.8,70,4.9,3.3,35.9,Medium
STU00340,8.6,15,6.7,95,4.8,0.7,42.1,Medium
STU00341,6.1,10,3.6,67,7.7,1.0,39.1,Medium
STU00342,3.6,13,2.3,80,8.9,4.5,50.3,Medium
STU00343,3.7,6,4.9,70,4.0,4.9,37.2,Medium
STU00344,8.0,4,4.6,87,7.1,0.7,26.9,Low
STU00345,5.8,11,6.2,68,3.4,6.1,43.4,Medium
STU00346,3.9,6,8.5,41,2.4,1.3,44.5,Medium
STU00347,5.3,10,7.3,61,5.7,5.7,51.1,Medium
STU00348,6.7,7,8.0,87,3.5,3.9,34.2,Low
STU00349,8.4,15,5.6,72,5.3,5.1,45.8,Medium
STU00350,4.7,10,4.3,93,7.9,2.5,47.0,Medium
STU00351,3.6,15,9.5,99,5.2,4.2,62.5,Medium
STU00352,5.2,10,6.8,81,6.1,2.2,44.3,Medium
STU00353,4.2,7,11.4,97,2.4,2.1,44.2,Medium
STU00354,6.6,8,11.9,59,0.8,1.2,35.2,Medium
STU00355,4.0,11,2.2,88,7.7,4.1,46.6,Medium
STU00356,8.2,6,10.4,59,1.9,5.6,36.0,Medium
STU00357,8.0,11,9.8,67,5.1,2.4,48.1,Medium
STU00358,4.4,15,5.3,68,8.4,4.4,63.4,Medium
STU00359,3.6,7,3.4,79,1.8,8.0,44.8,Medium
STU00360,5.8,11,10.3,66,7.7,5.1,58.1,Medium
STU00361,9.5,11,5.3,97,7.0,4.7,44.0,Medium
STU00362,3.9,10,9.7,80,3.6,5.9,51.4,Medium
STU00363,6.0,4,3.7,70,8.7,4.2,35.0,Medium
STU00364,4.9,11,8.1,65,5.6,4.0,53.3,Medium
STU00365,4.0,5,2.4,50,2.7,4.5,35.9,Medium
STU00366,4.9,11,10.6,71,5.1,2.4,52.3,Medium
STU00367,7.2,5,7.9,97,5.8,4.9,35.2,Medium
STU00368,9.3,1,8.0,40,9.5,5.2,38.4,Medium
STU00369,5.7,5,8.9,42,5.2,1.8,37.5,Medium
STU00370,8.1,10,9.7,70,3.1,7.9,48.9,Medium
STU00371,3.7,14,6.1,53,6.1,6.2,60.5,Medium
STU00372,5.8,0,5.2,52,2.4,1.0,27.7,Low
STU00373,8.6,8,7.8,97,9.5,8.0,46.2,Medium
STU00374,9.5,8,5.7,62,0.8,1.8,31.4,Low
STU00375,4.8,11,7.2,90,7.5,6.0,51.4,Medium
STU00376,5.5,12,6.5,95,9.0,1.4,46.4,Medium
STU00377,6.6,13,8.0,59,2.3,4.1,53.3,Medium
STU00378,5.7,4,4.1,82,5.1,1.3,29.4,Low
STU00379,4.0,10,10.5,65,3.7,7.7,55.1,Medium
STU00380,3.6,12,9.2,100,2.9,7.3,49.6,Medium
STU00381,4.4,6,6.3,84,8.9,3.5,47.8,Medium
STU00382,6.1,3,10.8,95,5.0,7.9,40.5,Medium
STU00383,5.0,6,8.9,81,3.8,1.1,42.7,Medium
STU00384,9.2,6,9.9,43,9.1,4.5,46.7,Medium
STU00385,8.0,8,1.3,45,5.6,5.6,37.6,Medium
STU00386,7.6,8,7.5,95,8.8,7.5,47.2,Medium
STU00387,9.2,14,9.7,56,2.0,7.6,52.5,Medium
STU00388,4.0,13,10.0,59,9.1,3.3,61.6,Medium
STU00389,9.3,13,1.6,80,8.6,5.9,44.3,Medium
STU00390,4.8,0,8.9,69,10.0,5.5,49.4,Medium
STU00391,4.1,8,11.1,90,2.4,7.9,51.6,Medium
STU00392,5.4,1,1.6,58,3.4,5.9,31.9,Low
STU00393,8.7,2,8.2,41,4.5,7.4,41.5,Medium
STU00394,4.2,9,1.8,85,9.8,4.0,44.2,Medium
STU00395,3.8,7,9.0,90,2.8,6.8,48.6,Medium
STU00396,6.1,5,1.9,90,2.1,6.1,25.5,Low
STU00397,8.5,9,5.7,78,7.1,0.6,36.0,Medium
STU00398,5.2,12,1.1,65,7.8,7.3,52.2,Medium
STU00399,9.0,2,2.2,63,1.6,4.1,23.7,Low
STU00400,5.7,4,3.7,67,7.3,1.3,34.4,Low
STU00401,7.6,5,3.3,44,6.4,3.5,31.3,Low
STU00402,6.1,9,1.3,77,1.4,1.7,32.3,Low
STU00403,5.2,13,1.1,69,6.9,2.1,44.4,Medium
STU00404,7.7,5,5.1,49,8.1,6.1,40.2,Medium
STU00405,8.5,8,6.7,50,9.6,2.2,40.7,Medium
STU00406,7.3,5,2.2,52,3.4,3.8,28.3,Low
STU00407,9.4,12,1.2,59,5.1,5.6,42.4,Medium
STU00408,5.4,15,9.8,59,4.9,3.5,58.4,Medium
STU00409,6.3,7,7.0,77,2.9,2.7,40.3,Medium
STU00410,5.6,2,9.1,68,5.3,6.8,42.0,Medium
STU00411,3.6,9,8.2,86,1.1,6.7,44.0,Medium
STU00412,3.8,6,9.7,45,4.8,3.2,50.3,Medium
STU00413,8.3,1,3.0,61,5.5,5.9,33.1,Low
STU00414,4.3,14,3.7,53,5.0,2.3,46.9,Medium
STU00415,8.7,6,7.8,69,8.2,5.0,38.9,Medium
STU00416,4.3,10,5.6,89,3.5,6.4,43.6,Medium
STU00417,5.2,12,5.1,67,7.3,3.8,56.5,Medium
STU00418,6.3,2,8.2,78,4.9,7.0,40.2,Medium
STU00419,8.8,1,11.9,86,2.2,4.9,31.3,Low
STU00420,4.2,5,10.4,51,7.7,6.1,52.1,Medium
STU00421,8.0,14,10.2,41,9.6,1.8,55.9,Medium
STU00422,9.5,14,11.8,85,7.7,2.9,51.4,Medium
